id_revision,vehiculo,tipo_vehiculo,presion_bar,estado_presion
REV-0493,Mazda 3 2024,Pickup,3.31,Alta
REV-0494,Ford Ranger 2023,SUV,3.27,Alta
REV-0495,BMW Serie 3 2024,Pickup,1.85,Baja
REV-0496,Suzuki Vitara 2023,Minivan,3.21,Alta
REV-0497,Suzuki Vitara 2023,Sedán,2.23,Normal
REV-0499,VW Tiguan 2024,Lujo,3.31,Alta
REV-0500,Toyota Hilux 2024,Compacto,3.45,Alta
REV-0501,RAM 1500 2023,Pickup,2.47,Normal
REV-0502,Chevrolet Silverado 2024,SUV,2.34,Normal
REV-0503,Nissan Frontier 2023,Camioneta,3.37,Alta
REV-0504,Honda CR-V 2023,Camioneta,3.71,Peligrosa
REV-0505,Suzuki Vitara 2023,Pickup,1.61,Baja
REV-0506,Nissan Sentra 2024,Lujo,1.79,Baja
REV-0507,Audi A4 2024,Sedán,3.41,Alta
REV-0508,Honda CR-V 2023,Lujo,2.93,Alta
REV-0509,Nissan Sentra 2024,Compacto,3.68,Peligrosa
REV-0510,Ford Escape 2023,Deportivo,1.50,Muy baja
REV-0511,Ford Ranger 2023,Deportivo,3.01,Alta
REV-0512,Toyota RAV4 2024,Sedán,1.78,Baja
REV-0513,BMW Serie 3 2024,SUV,3.04,Alta
REV-0514,Nissan Sentra 2024,Minivan,3.12,Alta
REV-0516,Toyota RAV4 2024,Compacto,2.47,Normal
REV-0517,Jeep Wrangler 2022,Camioneta,1.50,Muy baja
REV-0518,BMW Serie 3 2024,Camioneta,2.42,Normal
REV-0519,Honda Civic 2022,Camioneta,3.68,Peligrosa
REV-0521,Nissan Frontier 2023,Camioneta,1.37,Muy baja
REV-0522,Ford Ranger 2023,Sedán,2.15,Normal
REV-0523,Nissan Sentra 2024,Minivan,3.34,Alta
REV-0524,Ford Escape 2023,Compacto,3.52,Alta
REV-0525,Jeep Wrangler 2022,Deportivo,2.50,Normal
REV-0526,Honda Civic 2022,SUV,1.98,Baja
REV-0527,BMW Serie 3 2024,Compacto,1.82,Baja
REV-0528,Mazda 3 2024,Deportivo,1.27,Muy baja
REV-0529,RAM 1500 2023,Minivan,2.27,Normal
REV-0530,Audi A4 2024,SUV,1.81,Baja
REV-0531,RAM 1500 2023,Deportivo,2.98,Alta
REV-0532,Honda CR-V 2023,Camioneta,2.10,Normal
REV-0533,KIA Sportage 2023,SUV,1.30,Muy baja
REV-0534,VW Tiguan 2024,Camioneta,1.23,Muy baja
REV-0535,Chevrolet Silverado 2024,Lujo,1.81,Baja
REV-0536,VW Tiguan 2024,Camioneta,2.18,Normal
REV-0537,BMW Serie 3 2024,Pickup,2.30,Normal
REV-0538,BMW Serie 3 2024,Compacto,2.22,Normal
REV-0539,Subaru Outback 2024,Pickup,3.67,Peligrosa
REV-0542,Toyota Hilux 2024,Compacto,3.27,Alta
REV-0543,Jeep Wrangler 2022,Deportivo,1.30,Muy baja
REV-0544,Mazda CX-5 2023,Minivan,3.78,Peligrosa
REV-0545,KIA Sportage 2023,Minivan,3.13,Alta
REV-0546,RAM 1500 2023,Minivan,1.85,Baja
REV-0547,VW Tiguan 2024,Camioneta,1.62,Baja
REV-0549,VW Tiguan 2024,Camioneta,2.45,Normal
REV-0550,Nissan Frontier 2023,SUV,3.12,Alta
REV-0551,Toyota Hilux 2024,Sedán,2.94,Alta
REV-0552,Honda CR-V 2023,Lujo,3.01,Alta
REV-0553,Mercedes C300 2023,Minivan,3.03,Alta
REV-0554,BMW Serie 3 2024,Compacto,2.42,Normal
REV-0555,Mazda CX-5 2023,Deportivo,1.45,Muy baja
REV-0556,Audi A4 2024,Deportivo,1.36,Muy baja
REV-0557,Mazda 3 2024,Camioneta,3.13,Alta
REV-0558,Honda CR-V 2023,Sedán,3.79,Peligrosa
REV-0559,Mazda 3 2024,Lujo,2.24,Normal
REV-0561,BMW Serie 3 2024,Sedán,2.84,Alta
REV-0562,Ford Ranger 2023,Camioneta,2.16,Normal
REV-0563,Jeep Wrangler 2022,Camioneta,1.61,Baja
REV-0564,Honda Civic 2022,Compacto,2.14,Normal
REV-0565,Mazda 3 2024,SUV,3.03,Alta
REV-0566,Mercedes C300 2023,Lujo,1.89,Baja
REV-0567,Toyota Corolla 2023,Camioneta,2.58,Normal
REV-0568,VW Tiguan 2024,Minivan,1.49,Muy baja
REV-0569,Mercedes C300 2023,Compacto,3.05,Alta
REV-0570,Ford Ranger 2023,Deportivo,3.09,Alta
REV-0571,Hyundai Tucson 2024,Lujo,2.63,Normal
REV-0572,Ford Ranger 2023,Pickup,1.55,Baja
REV-0573,Toyota RAV4 2024,Sedán,3.38,Alta
REV-0574,Ford Escape 2023,Minivan,1.22,Muy baja
REV-0576,Nissan Frontier 2023,Minivan,3.73,Peligrosa
REV-0577,RAM 1500 2023,Minivan,2.81,Alta
REV-0578,Suzuki Vitara 2023,Deportivo,2.48,Normal
REV-0579,Subaru Outback 2024,Minivan,2.15,Normal
REV-0580,Nissan Sentra 2024,SUV,3.43,Alta
REV-0581,Subaru Outback 2024,Lujo,3.21,Alta
REV-0582,Nissan Frontier 2023,Camioneta,2.79,Alta
REV-0583,Toyota Corolla 2023,Compacto,1.54,Baja
REV-0584,Chevrolet Silverado 2024,Sedán,1.44,Muy baja
REV-0585,Suzuki Vitara 2023,Pickup,1.71,Baja
REV-0586,Hyundai Tucson 2024,Pickup,2.48,Normal
REV-0587,Honda CR-V 2023,Lujo,1.67,Baja
REV-0588,Mercedes C300 2023,Sedán,2.52,Normal
REV-0589,VW Tiguan 2024,Pickup,3.14,Alta
REV-0590,Suzuki Vitara 2023,Lujo,2.45,Normal
REV-0591,Suzuki Vitara 2023,Camioneta,3.42,Alta
REV-0592,Suzuki Vitara 2023,Compacto,2.21,Normal
REV-0593,KIA Sportage 2023,Sedán,3.61,Alta
REV-0594,Mazda 3 2024,SUV,1.61,Baja
REV-0595,Nissan Frontier 2023,Lujo,3.07,Alta
REV-0596,Nissan Frontier 2023,Deportivo,2.20,Normal
REV-0597,Suzuki Vitara 2023,Minivan,2.08,Normal
REV-0598,Chevrolet Aveo 2022,Compacto,2.70,Normal
REV-0600,Ford Escape 2023,Pickup,2.96,Alta
REV-0601,Honda CR-V 2023,Lujo,3.02,Alta
REV-0602,RAM 1500 2023,Pickup,2.65,Normal
REV-0603,VW Jetta 2023,Camioneta,3.40,Alta
REV-0604,RAM 1500 2023,Deportivo,2.14,Normal
REV-0605,Honda Civic 2022,Compacto,1.82,Baja
REV-0606,Subaru Outback 2024,Deportivo,3.27,Alta
REV-0607,Toyota RAV4 2024,Pickup,1.77,Baja
REV-0608,Chevrolet Aveo 2022,Lujo,2.80,Alta
REV-0609,KIA Sportage 2023,Camioneta,2.90,Alta
REV-0610,Ford Escape 2023,Sedán,2.42,Normal
REV-0611,Chevrolet Aveo 2022,Sedán,2.56,Normal
REV-0612,Nissan Sentra 2024,Pickup,3.34,Alta
REV-0613,Audi A4 2024,Compacto,3.10,Alta
REV-0614,BMW Serie 3 2024,Lujo,2.29,Normal
REV-0615,Chevrolet Silverado 2024,Pickup,3.60,Alta
REV-0616,Nissan Sentra 2024,Sedán,1.87,Baja
REV-0617,Toyota RAV4 2024,Camioneta,3.00,Alta
REV-0618,Toyota Hilux 2024,Camioneta,3.59,Alta
REV-0619,RAM 1500 2023,Compacto,1.96,Baja
REV-0620,Hyundai Tucson 2024,Deportivo,3.41,Alta
REV-0621,BMW Serie 3 2024,Camioneta,1.35,Muy baja
REV-0622,VW Tiguan 2024,Pickup,3.46,Alta
REV-0623,Honda CR-V 2023,Minivan,2.09,Normal
REV-0624,RAM 1500 2023,Compacto,2.12,Normal
REV-0625,Jeep Wrangler 2022,Pickup,1.32,Muy baja
REV-0626,Hyundai Tucson 2024,Lujo,2.59,Normal
REV-0627,Hyundai Tucson 2024,Deportivo,1.34,Muy baja
REV-0628,Nissan Frontier 2023,Compacto,3.74,Peligrosa
REV-0629,Chevrolet Aveo 2022,Sedán,1.84,Baja
REV-0630,Nissan Sentra 2024,Sedán,2.89,Alta
REV-0631,BMW Serie 3 2024,Compacto,2.22,Normal
REV-0633,Toyota Hilux 2024,Minivan,2.25,Normal
REV-0634,Jeep Wrangler 2022,Pickup,2.97,Alta
REV-0635,Ford Escape 2023,SUV,1.29,Muy baja
REV-0636,Chevrolet Aveo 2022,SUV,2.35,Normal
REV-0637,Mazda 3 2024,Sedán,2.57,Normal
REV-0638,Honda Civic 2022,Pickup,2.41,Normal
REV-0639,Ford Ranger 2023,Lujo,1.91,Baja
REV-0640,Jeep Wrangler 2022,Minivan,2.31,Normal
REV-0641,Mazda CX-5 2023,SUV,1.86,Baja
REV-0642,Ford Ranger 2023,Lujo,1.93,Baja
REV-0644,Mazda CX-5 2023,Compacto,3.47,Alta
REV-0645,Honda Civic 2022,Lujo,1.67,Baja
REV-0646,Audi A4 2024,Camioneta,2.49,Normal
REV-0647,Chevrolet Aveo 2022,Deportivo,1.69,Baja
REV-0648,Nissan Frontier 2023,Deportivo,2.73,Normal
REV-0649,Mazda 3 2024,Deportivo,3.60,Alta
REV-0650,Mazda 3 2024,Camioneta,2.54,Normal
REV-0651,Subaru Outback 2024,Sedán,2.22,Normal
REV-0653,Ford Escape 2023,Pickup,2.02,Baja
REV-0654,Mazda CX-5 2023,Deportivo,2.92,Alta
REV-0655,Audi A4 2024,Minivan,1.39,Muy baja
REV-0656,Ford Ranger 2023,Sedán,2.31,Normal
REV-0657,Honda CR-V 2023,Camioneta,2.61,Normal
REV-0659,VW Tiguan 2024,Compacto,3.67,Peligrosa
REV-0660,KIA Sportage 2023,Minivan,1.41,Muy baja
REV-0661,Hyundai Tucson 2024,SUV,3.24,Alta
REV-0662,Jeep Wrangler 2022,Compacto,3.04,Alta
REV-0663,Mazda CX-5 2023,Lujo,3.56,Alta
REV-0664,BMW Serie 3 2024,Compacto,1.46,Muy baja
REV-0665,Jeep Wrangler 2022,Deportivo,2.71,Normal
REV-0666,Toyota Hilux 2024,Lujo,2.19,Normal
REV-0667,Toyota Hilux 2024,Deportivo,1.78,Baja
REV-0668,Nissan Frontier 2023,Deportivo,1.32,Muy baja
REV-0669,Subaru Outback 2024,Camioneta,3.04,Alta
REV-0670,Ford Ranger 2023,Minivan,1.90,Baja
REV-0671,Ford Escape 2023,Camioneta,2.41,Normal
REV-0672,Toyota RAV4 2024,SUV,3.49,Alta
REV-0674,VW Tiguan 2024,SUV,3.20,Alta
REV-0675,Jeep Wrangler 2022,Lujo,1.91,Baja
REV-0676,Mercedes C300 2023,Lujo,1.34,Muy baja
REV-0677,Nissan Sentra 2024,Sedán,2.48,Normal
REV-0678,Chevrolet Silverado 2024,Deportivo,2.71,Normal
REV-0679,VW Tiguan 2024,SUV,2.06,Baja
REV-0680,Ford Escape 2023,Compacto,2.96,Alta
REV-0681,Subaru Outback 2024,Minivan,2.55,Normal
REV-0682,Honda Civic 2022,Pickup,1.44,Muy baja
REV-0683,VW Jetta 2023,Lujo,1.89,Baja
REV-0684,Toyota RAV4 2024,Compacto,1.81,Baja
REV-0685,Ford Escape 2023,Pickup,2.37,Normal
REV-0687,VW Tiguan 2024,SUV,3.05,Alta
REV-0688,BMW Serie 3 2024,Lujo,3.59,Alta
REV-0689,Mazda CX-5 2023,SUV,2.69,Normal
REV-0690,Honda CR-V 2023,Pickup,1.84,Baja
REV-0691,Mazda CX-5 2023,Pickup,3.76,Peligrosa
REV-0692,Audi A4 2024,Lujo,3.02,Alta
REV-0693,Jeep Wrangler 2022,Deportivo,1.27,Muy baja
REV-0695,Chevrolet Silverado 2024,Minivan,1.28,Muy baja
REV-0696,Chevrolet Aveo 2022,Sedán,2.73,Normal
REV-0697,Mazda 3 2024,Pickup,3.03,Alta
REV-0698,Nissan Sentra 2024,Compacto,1.75,Baja
REV-0699,Mazda CX-5 2023,SUV,3.15,Alta
REV-0700,Ford Ranger 2023,Compacto,2.10,Normal
REV-0701,Suzuki Vitara 2023,SUV,1.25,Muy baja
REV-0702,Mercedes C300 2023,Compacto,2.62,Normal
REV-0704,Toyota RAV4 2024,Compacto,1.89,Baja
REV-0705,KIA Sportage 2023,SUV,2.55,Normal
REV-0706,Chevrolet Aveo 2022,Pickup,1.35,Muy baja
REV-0707,BMW Serie 3 2024,Deportivo,2.57,Normal
REV-0708,Mazda CX-5 2023,SUV,1.45,Muy baja
REV-0709,Hyundai Tucson 2024,Camioneta,3.71,Peligrosa
REV-0710,Chevrolet Aveo 2022,Lujo,2.86,Alta
REV-0711,Toyota Corolla 2023,Camioneta,3.73,Peligrosa
REV-0712,Subaru Outback 2024,SUV,1.75,Baja
REV-0713,Mazda 3 2024,Compacto,1.32,Muy baja
REV-0715,Audi A4 2024,Camioneta,2.39,Normal
REV-0716,Honda Civic 2022,Minivan,3.38,Alta
REV-0717,Toyota RAV4 2024,Camioneta,1.32,Muy baja
REV-0718,Toyota Hilux 2024,Camioneta,2.53,Normal
REV-0719,VW Jetta 2023,Camioneta,2.86,Alta
REV-0720,Toyota RAV4 2024,Camioneta,3.01,Alta
REV-0721,Nissan Frontier 2023,Minivan,3.42,Alta
REV-0722,Ford Ranger 2023,SUV,1.38,Muy baja
REV-0723,Nissan Sentra 2024,Pickup,2.49,Normal
REV-0724,Jeep Wrangler 2022,Sedán,2.12,Normal
REV-0726,Subaru Outback 2024,Lujo,1.93,Baja
REV-0727,VW Jetta 2023,Lujo,2.76,Alta
REV-0728,Nissan Sentra 2024,Deportivo,1.36,Muy baja
REV-0729,Jeep Wrangler 2022,Camioneta,3.40,Alta
REV-0730,Toyota Hilux 2024,Lujo,2.53,Normal
REV-0731,Toyota RAV4 2024,Minivan,3.57,Alta
REV-0732,Mazda CX-5 2023,Camioneta,3.59,Alta
REV-0733,Ford Ranger 2023,Lujo,1.79,Baja
REV-0734,Ford Escape 2023,Sedán,2.01,Baja
REV-0735,BMW Serie 3 2024,Minivan,2.94,Alta
REV-0736,Honda CR-V 2023,Camioneta,2.40,Normal
REV-0737,Hyundai Tucson 2024,Sedán,1.76,Baja
REV-0738,Mercedes C300 2023,Camioneta,3.58,Alta
REV-0739,Nissan Frontier 2023,Pickup,2.81,Alta
REV-0740,RAM 1500 2023,Compacto,3.50,Alta
REV-0741,Subaru Outback 2024,Sedán,1.52,Baja
REV-0742,Hyundai Tucson 2024,Lujo,2.88,Alta
REV-0743,Honda CR-V 2023,SUV,2.09,Normal
REV-0744,Suzuki Vitara 2023,Compacto,3.23,Alta
REV-0745,RAM 1500 2023,Deportivo,1.24,Muy baja
REV-0746,Chevrolet Aveo 2022,Deportivo,3.36,Alta
REV-0747,KIA Sportage 2023,Compacto,3.50,Alta
REV-0748,Ford Escape 2023,SUV,2.98,Alta
REV-0749,Hyundai Tucson 2024,Camioneta,1.45,Muy baja
REV-0750,RAM 1500 2023,Camioneta,2.07,Normal
REV-0751,Jeep Wrangler 2022,Pickup,1.45,Muy baja
REV-0752,Audi A4 2024,Lujo,1.63,Baja
REV-0753,Subaru Outback 2024,Lujo,2.50,Normal
REV-0755,Nissan Sentra 2024,Lujo,2.14,Normal
REV-0757,Ford Ranger 2023,Pickup,2.07,Normal
REV-0758,Suzuki Vitara 2023,SUV,3.39,Alta
REV-0759,Toyota RAV4 2024,Lujo,3.60,Alta
REV-0760,Hyundai Tucson 2024,Minivan,2.79,Alta
REV-0761,Toyota Corolla 2023,Compacto,1.97,Baja
REV-0762,BMW Serie 3 2024,Pickup,1.28,Muy baja
REV-0763,Subaru Outback 2024,Minivan,1.28,Muy baja
REV-0764,Toyota Corolla 2023,Pickup,3.30,Alta
REV-0765,Toyota Corolla 2023,Pickup,2.20,Normal
REV-0766,Chevrolet Aveo 2022,Lujo,3.17,Alta
REV-0767,Suzuki Vitara 2023,Deportivo,3.42,Alta
REV-0768,Ford Ranger 2023,Compacto,3.71,Peligrosa
REV-0769,Audi A4 2024,Minivan,1.93,Baja
REV-0770,Honda Civic 2022,Compacto,2.34,Normal
REV-0771,RAM 1500 2023,Pickup,2.28,Normal
REV-0772,Mazda 3 2024,Camioneta,2.34,Normal
REV-0773,Honda CR-V 2023,Minivan,1.43,Muy baja
REV-0774,Jeep Wrangler 2022,Sedán,1.69,Baja
REV-0775,BMW Serie 3 2024,Camioneta,2.24,Normal
REV-0776,Subaru Outback 2024,Compacto,1.81,Baja
REV-0778,Honda CR-V 2023,Deportivo,2.99,Alta
REV-0779,Hyundai Tucson 2024,Pickup,3.57,Alta
REV-0780,Mazda 3 2024,Compacto,3.15,Alta
REV-0781,Toyota Corolla 2023,Camioneta,1.39,Muy baja
REV-0782,Jeep Wrangler 2022,Sedán,3.71,Peligrosa
REV-0783,Toyota RAV4 2024,Camioneta,3.74,Peligrosa
REV-0784,Chevrolet Silverado 2024,Camioneta,2.43,Normal
REV-0785,Toyota Hilux 2024,Minivan,3.54,Alta
REV-0786,BMW Serie 3 2024,Camioneta,3.67,Peligrosa
REV-0787,Mazda 3 2024,Camioneta,2.52,Normal
REV-0788,Suzuki Vitara 2023,Minivan,1.97,Baja
REV-0789,Ford Ranger 2023,SUV,2.06,Baja
REV-0790,Mazda 3 2024,Sedán,2.55,Normal
REV-0791,Mazda CX-5 2023,Minivan,1.59,Baja
REV-0792,Mazda CX-5 2023,Lujo,3.71,Peligrosa
REV-0793,RAM 1500 2023,Sedán,2.14,Normal
REV-0795,BMW Serie 3 2024,Pickup,1.39,Muy baja
REV-0797,Chevrolet Aveo 2022,Lujo,1.45,Muy baja
REV-0798,Honda Civic 2022,Lujo,3.11,Alta
REV-0799,Nissan Sentra 2024,Lujo,2.59,Normal
REV-0800,BMW Serie 3 2024,Compacto,3.37,Alta
REV-0801,VW Tiguan 2024,Deportivo,2.53,Normal
REV-0802,Ford Ranger 2023,Pickup,2.80,Alta
REV-0803,Ford Escape 2023,Pickup,3.59,Alta
REV-0804,Chevrolet Silverado 2024,Sedán,1.93,Baja
REV-0806,Subaru Outback 2024,Sedán,2.30,Normal
REV-0807,Ford Ranger 2023,Sedán,1.77,Baja
REV-0808,BMW Serie 3 2024,Lujo,1.39,Muy baja
REV-0809,Toyota Hilux 2024,Camioneta,2.58,Normal
REV-0810,BMW Serie 3 2024,Lujo,2.28,Normal
REV-0811,RAM 1500 2023,Lujo,1.88,Baja
REV-0812,Ford Escape 2023,Camioneta,3.00,Alta
REV-0813,KIA Sportage 2023,Compacto,2.15,Normal
REV-0814,BMW Serie 3 2024,Camioneta,3.76,Peligrosa
REV-0815,Ford Ranger 2023,SUV,2.78,Alta
REV-0816,Honda CR-V 2023,SUV,1.41,Muy baja
REV-0817,Honda CR-V 2023,Sedán,2.20,Normal
REV-0818,Toyota Corolla 2023,SUV,2.61,Normal
REV-0819,Chevrolet Silverado 2024,Minivan,3.72,Peligrosa
REV-0820,Ford Escape 2023,Pickup,2.66,Normal
REV-0821,Nissan Sentra 2024,Deportivo,1.37,Muy baja
REV-0822,BMW Serie 3 2024,Lujo,3.06,Alta
REV-0824,Jeep Wrangler 2022,Lujo,1.59,Baja
REV-0825,Honda CR-V 2023,Camioneta,2.29,Normal
REV-0826,Ford Ranger 2023,Sedán,2.93,Alta
REV-0827,Audi A4 2024,SUV,1.64,Baja
REV-0828,Hyundai Tucson 2024,Sedán,2.93,Alta
REV-0829,VW Jetta 2023,Camioneta,3.55,Alta
REV-0830,Honda CR-V 2023,Compacto,2.32,Normal
REV-0831,KIA Sportage 2023,Pickup,1.71,Baja
REV-0832,Chevrolet Silverado 2024,Lujo,3.10,Alta
REV-0833,Mazda 3 2024,Compacto,3.63,Peligrosa
REV-0834,Toyota RAV4 2024,Deportivo,3.30,Alta
REV-0835,Toyota RAV4 2024,Lujo,2.40,Normal
REV-0836,Chevrolet Silverado 2024,Deportivo,3.38,Alta
REV-0837,Mazda 3 2024,Lujo,1.50,Muy baja
REV-0838,Ford Ranger 2023,Pickup,2.93,Alta
REV-0839,VW Jetta 2023,Lujo,1.73,Baja
REV-0840,Honda Civic 2022,Pickup,1.65,Baja
REV-0841,Honda CR-V 2023,Camioneta,3.36,Alta
REV-0842,Mercedes C300 2023,Pickup,2.59,Normal
REV-0843,Mazda 3 2024,Minivan,1.47,Muy baja
REV-0844,Ford Escape 2023,Compacto,3.20,Alta
REV-0845,Hyundai Tucson 2024,Minivan,2.88,Alta
REV-0846,Honda CR-V 2023,Deportivo,1.81,Baja
REV-0847,Ford Escape 2023,Lujo,2.27,Normal
REV-0848,RAM 1500 2023,SUV,1.88,Baja
REV-0850,BMW Serie 3 2024,Sedán,2.33,Normal
REV-0851,Jeep Wrangler 2022,Sedán,1.88,Baja
REV-0852,Honda Civic 2022,Minivan,3.20,Alta
REV-0854,Mazda CX-5 2023,Lujo,1.74,Baja
REV-0855,Honda Civic 2022,Camioneta,1.84,Baja
REV-0856,Audi A4 2024,Lujo,2.61,Normal
REV-0858,BMW Serie 3 2024,SUV,3.54,Alta
REV-0860,Toyota RAV4 2024,Sedán,2.77,Alta
REV-0861,VW Jetta 2023,SUV,2.36,Normal
REV-0863,RAM 1500 2023,Pickup,1.84,Baja
REV-0864,Honda Civic 2022,SUV,1.48,Muy baja
REV-0865,Chevrolet Aveo 2022,Pickup,2.46,Normal
REV-0866,Mercedes C300 2023,Sedán,1.64,Baja
REV-0867,Chevrolet Aveo 2022,Compacto,2.36,Normal
REV-0868,VW Tiguan 2024,Minivan,3.10,Alta
REV-0870,Mazda 3 2024,Camioneta,2.91,Alta
REV-0871,Toyota Hilux 2024,SUV,2.78,Alta
REV-0872,Nissan Frontier 2023,Pickup,3.64,Peligrosa
REV-0874,RAM 1500 2023,Pickup,2.69,Normal
REV-0875,Hyundai Tucson 2024,SUV,2.39,Normal
REV-0876,Subaru Outback 2024,Sedán,3.76,Peligrosa
REV-0878,BMW Serie 3 2024,Minivan,2.91,Alta
REV-0879,Chevrolet Silverado 2024,Sedán,1.74,Baja
REV-0880,RAM 1500 2023,Camioneta,3.76,Peligrosa
REV-0881,Suzuki Vitara 2023,SUV,3.48,Alta
REV-0882,Jeep Wrangler 2022,Camioneta,3.20,Alta
REV-0883,Mazda CX-5 2023,Minivan,2.47,Normal
REV-0884,RAM 1500 2023,Minivan,2.16,Normal
REV-0885,VW Tiguan 2024,Sedán,1.36,Muy baja
REV-0886,Chevrolet Silverado 2024,Pickup,2.59,Normal
REV-0888,Ford Ranger 2023,Deportivo,1.35,Muy baja
REV-0889,KIA Sportage 2023,Lujo,3.77,Peligrosa
REV-0890,KIA Sportage 2023,Camioneta,2.85,Alta
REV-0891,Honda CR-V 2023,Sedán,2.12,Normal
REV-0892,Toyota RAV4 2024,Pickup,3.73,Peligrosa
REV-0893,Chevrolet Aveo 2022,Lujo,3.58,Alta
REV-0894,Audi A4 2024,Sedán,1.60,Baja
REV-0895,Honda CR-V 2023,Sedán,3.51,Alta
REV-0896,VW Jetta 2023,Sedán,1.41,Muy baja
REV-0898,Honda CR-V 2023,Pickup,3.65,Peligrosa
REV-0899,Suzuki Vitara 2023,Deportivo,3.71,Peligrosa
REV-0900,Chevrolet Silverado 2024,Camioneta,1.21,Muy baja
REV-0903,Jeep Wrangler 2022,Deportivo,3.63,Peligrosa
REV-0904,KIA Sportage 2023,Deportivo,2.78,Alta
REV-0905,Nissan Sentra 2024,Sedán,2.03,Baja
REV-0906,Toyota RAV4 2024,Sedán,3.36,Alta
REV-0907,Toyota Corolla 2023,Camioneta,2.85,Alta
REV-0909,Honda CR-V 2023,Lujo,2.25,Normal
REV-0910,VW Tiguan 2024,Lujo,1.32,Muy baja
REV-0911,Honda Civic 2022,Sedán,3.22,Alta
REV-0912,Subaru Outback 2024,Camioneta,1.59,Baja
REV-0913,VW Tiguan 2024,Sedán,1.71,Baja
REV-0914,KIA Sportage 2023,SUV,3.07,Alta
REV-0915,Mercedes C300 2023,Pickup,3.76,Peligrosa
REV-0916,Toyota RAV4 2024,SUV,3.54,Alta
REV-0917,Ford Escape 2023,Lujo,3.27,Alta
REV-0918,Subaru Outback 2024,Minivan,3.33,Alta
REV-0919,Subaru Outback 2024,Pickup,3.31,Alta
REV-0920,Nissan Sentra 2024,Minivan,3.32,Alta
REV-0921,VW Jetta 2023,Camioneta,2.21,Normal
REV-0922,RAM 1500 2023,Camioneta,2.19,Normal
REV-0923,Ford Escape 2023,SUV,3.27,Alta
REV-0924,KIA Sportage 2023,Sedán,3.72,Peligrosa
REV-0926,Toyota Corolla 2023,Compacto,1.65,Baja
REV-0928,BMW Serie 3 2024,Deportivo,1.54,Baja
REV-0930,RAM 1500 2023,SUV,1.48,Muy baja
REV-0932,Hyundai Tucson 2024,Sedán,1.98,Baja
REV-0933,Toyota Corolla 2023,Lujo,1.70,Baja
REV-0934,BMW Serie 3 2024,Lujo,2.77,Alta
REV-0935,RAM 1500 2023,Minivan,3.41,Alta
REV-0936,Mercedes C300 2023,Deportivo,2.26,Normal
REV-0937,Chevrolet Aveo 2022,Deportivo,1.77,Baja
REV-0938,Chevrolet Aveo 2022,Camioneta,2.08,Normal
REV-0940,Mercedes C300 2023,Compacto,1.63,Baja
REV-0941,Hyundai Tucson 2024,Deportivo,3.78,Peligrosa
REV-0942,Mazda CX-5 2023,Deportivo,3.78,Peligrosa
REV-0943,Toyota RAV4 2024,Camioneta,2.02,Baja
REV-0945,Toyota RAV4 2024,Pickup,2.17,Normal
REV-0946,KIA Sportage 2023,Pickup,1.58,Baja
REV-0947,KIA Sportage 2023,Compacto,3.28,Alta
REV-0948,Mercedes C300 2023,Minivan,3.68,Peligrosa
REV-0949,Toyota Hilux 2024,Camioneta,3.54,Alta
REV-0950,Mazda CX-5 2023,Compacto,3.09,Alta
REV-0951,Nissan Sentra 2024,Minivan,1.37,Muy baja
REV-0952,Hyundai Tucson 2024,Camioneta,1.40,Muy baja
REV-0953,Nissan Frontier 2023,Compacto,1.41,Muy baja
REV-0954,VW Tiguan 2024,Camioneta,2.27,Normal
REV-0955,Jeep Wrangler 2022,Lujo,1.27,Muy baja
REV-0956,Ford Escape 2023,Pickup,2.36,Normal
REV-0957,Chevrolet Silverado 2024,SUV,1.82,Baja
REV-0958,VW Jetta 2023,Lujo,2.65,Normal
REV-0959,Toyota Hilux 2024,Camioneta,3.45,Alta
REV-0961,Mazda CX-5 2023,Sedán,3.15,Alta
REV-0962,Mercedes C300 2023,Compacto,2.10,Normal
REV-0963,Hyundai Tucson 2024,Minivan,1.44,Muy baja
REV-0964,Honda CR-V 2023,Camioneta,1.40,Muy baja
REV-0965,KIA Sportage 2023,Compacto,1.71,Baja
REV-0967,Mazda CX-5 2023,SUV,3.78,Peligrosa
REV-0968,Subaru Outback 2024,Camioneta,1.73,Baja
REV-0969,Toyota Corolla 2023,Camioneta,1.66,Baja
REV-0970,Jeep Wrangler 2022,Pickup,2.78,Alta
REV-0971,Chevrolet Silverado 2024,Deportivo,1.99,Baja
REV-0972,BMW Serie 3 2024,Pickup,2.59,Normal
REV-0973,VW Tiguan 2024,Camioneta,1.66,Baja
REV-0974,Jeep Wrangler 2022,Camioneta,2.44,Normal
REV-0975,Mercedes C300 2023,Compacto,1.82,Baja
REV-0976,Honda CR-V 2023,Minivan,3.71,Peligrosa
REV-0977,Chevrolet Silverado 2024,Lujo,3.61,Alta
REV-0979,Ford Ranger 2023,Deportivo,2.34,Normal
REV-0981,Suzuki Vitara 2023,Deportivo,2.92,Alta
REV-0982,Suzuki Vitara 2023,SUV,1.35,Muy baja
REV-0984,Chevrolet Silverado 2024,Pickup,2.00,Baja
REV-0985,Honda CR-V 2023,Pickup,3.80,Peligrosa
REV-0986,Audi A4 2024,Compacto,1.51,Muy baja
REV-0987,Toyota Hilux 2024,Deportivo,1.87,Baja
REV-0988,Chevrolet Aveo 2022,Camioneta,2.41,Normal
REV-0989,Mazda CX-5 2023,Pickup,2.65,Normal
